x,y,z,source,maxzoom
1004,703,11,glo30,12
44,9,6,glo30,12
45,8,6,glo30,12
18,18,5,glo30,12
19,36,6,glo30,12
19,37,6,glo30,12
50,7,6,glo30,12
33,7,6,glo30,12
25,43,6,glo30,12
24,43,6,glo30,12
32,19,6,glo30,12
33,18,6,glo30,12
32,18,6,glo30,12
56,47,6,glo30,12
57,47,6,glo30,12
61,42,6,glo30,12
61,43,6,glo30,12
60,43,6,glo30,12
5,53,6,glo30,12
4,53,6,glo30,12
5,52,6,glo30,12
503,350,10,glo30,12
503,351,10,glo30,12
2216,1550,12,glo30,12
2217,1550,12,glo30,12
26,21,6,glo30,12
27,21,6,glo30,12
27,51,6,glo30,12
11,51,6,glo30,12
10,51,6,glo30,12
63,13,6,glo30,12
62,13,6,glo30,12
21,17,5,glo30,12
30,13,6,glo30,12
31,13,6,glo30,12
17,38,6,glo30,12
16,19,6,glo30,12
17,19,6,glo30,12
17,18,6,glo30,12
20,41,6,glo30,12
21,40,6,glo30,12
20,40,6,glo30,12
8,36,6,glo30,12
9,36,6,glo30,12
4,20,6,glo30,12
5,21,6,glo30,12
4,21,6,glo30,12
1069,641,11,glo30,12
1069,640,11,glo30,12
62,36,6,glo30,12
32,43,6,glo30,12
11,28,6,glo30,12
30,16,6,glo30,12
30,17,6,glo30,12
31,16,6,glo30,12
46,47,6,glo30,12
47,47,6,glo30,12
11,8,6,glo30,12
11,9,6,glo30,12
10,9,6,glo30,12
0,32,6,glo30,12
1,33,6,glo30,12
1,32,6,glo30,12
58,23,6,glo30,12
59,22,6,glo30,12
58,22,6,glo30,12
1,13,6,glo30,12
0,13,6,glo30,12
132,81,8,glo30,12
133,81,8,glo30,12
132,80,8,glo30,12
37,13,6,glo30,12
36,13,6,glo30,12
5,5,5,glo30,12
42,33,6,glo30,12
55,47,6,glo30,12
54,47,6,glo30,12
19,1,6,glo30,12
18,1,6,glo30,12
10,24,5,glo30,12
10,25,5,glo30,12
40,8,6,glo30,12
41,8,6,glo30,12
2183,1579,12,glo30,12
2182,1579,12,glo30,12
15,3,6,glo30,12
25,1,6,glo30,12
24,1,6,glo30,12
82,70,7,glo30,12
83,70,7,glo30,12
82,71,7,glo30,12
35,25,6,glo30,12
2,13,6,glo30,12
3,13,6,glo30,12
9,23,6,glo30,12
